,YEAR,SEX,STATE,COUNTY,GEOID,RACE,AGE,SSP1,SSP2,SSP3,SSP4,SSP5
2846674,2050,1,37,47,37047,4,11,85.46592886937461,84.1777366542423,74.68946501116214,83.94437521977875,93.56612905539008
2846675,2050,1,37,47,37047,4,12,116.36308312719812,113.85670929320652,101.94182990612656,113.50220890176298,125.59107071529611
2846676,2050,1,37,47,37047,4,13,103.93492414780899,100.74338760149068,90.54931010963644,100.4785370343617,110.7055552097452
2846677,2050,1,37,47,37047,4,14,60.017575776628284,57.351542664157954,51.77269917630839,57.25024597633121,62.71975104574707
2846678,2050,1,37,47,37047,4,15,47.34226802499979,44.47536496815742,39.66267312398659,44.49545071567234,48.96614703654952
2846679,2050,1,37,47,37047,4,16,40.13364963408415,36.5381220777366,31.786906005902058,36.54436743405053,41.01588983129085
2846680,2050,1,37,47,37047,4,17,54.633865875781844,47.406541968199434,39.37257805928297,47.41090507121476,55.37663241389617
2846681,2050,1,37,47,37047,4,18,106.03841261007372,79.88123995029116,58.278320659002894,79.88025718928957,106.53703492290255
2846682,2050,1,37,49,37049,1,1,684.1820620936858,705.731782489612,472.74966891425936,555.4691851149863,1000.6813961039087
2846683,2050,1,37,49,37049,1,2,660.7604171355623,678.5371231133927,481.4335660601977,556.9547318074193,914.5954116414343
2846684,2050,1,37,49,37049,1,3,688.822881249513,706.1352113199057,521.5805059694562,597.5053530396573,912.7025965781256
2846685,2050,1,37,49,37049,1,4,1022.9097604092677,1051.509800784751,793.8605027116649,904.5805175119208,1320.2557125293295
2846686,2050,1,37,49,37049,1,5,2948.5443873803893,3036.996158488034,2324.527742135742,2630.0345008403337,3740.8067678183393
2846687,2050,1,37,49,37049,1,6,1657.5070147581046,1694.280211563935,1363.9406441538433,1541.4292709753436,2032.998224246099
2846688,2050,1,37,49,37049,1,7,1263.515676765692,1281.046851443423,1076.629554163864,1206.1061611902146,1502.6548626223928
2846689,2050,1,37,49,37049,1,8,1667.4834812930571,1672.0643546242386,1455.6104946966086,1615.3294604879584,1918.0068992570311
2846690,2050,1,37,49,37049,1,9,1844.0741056770246,1829.3551909575315,1656.38635788064,1826.142631356344,2000.663341297466
2846691,2050,1,37,49,37049,1,10,1615.6273196170944,1598.1208659690049,1436.835460127402,1594.7842987055435,1757.9878988162197
2846692,2050,1,37,49,37049,1,11,1403.2583440262774,1382.1076176665729,1226.3204340522714,1378.2760746831063,1536.2548918866787
2846693,2050,1,37,49,37049,1,12,1237.561290633445,1210.9051454588287,1084.186317496028,1207.1349122355875,1335.7041029633006
2846694,2050,1,37,49,37049,1,13,1422.4861212536914,1378.8057464438211,1239.2863897882555,1375.1809181290246,1515.1511113588138
2846695,2050,1,37,49,37049,1,14,1620.4704312777815,1548.4877200192573,1397.8593283222492,1545.7527163926434,1693.4289782879766
2846696,2050,1,37,49,37049,1,15,1361.8606648773646,1279.3905453412965,1140.9473319470565,1279.9683374625095,1408.5736138468073
2846697,2050,1,37,49,37049,1,16,1196.274644045333,1089.1017732289206,947.4809795324188,1089.2879302684496,1222.5718182993187
2846698,2050,1,37,49,37049,1,17,945.2308670213682,820.1895664672251,681.192434386009,820.2650533393323,958.0816116568028
2846699,2050,1,37,49,37049,1,18,613.9546149237831,462.5065078412553,337.4271930132962,462.50081772729146,616.8416014650749
2846700,2050,1,37,49,37049,2,1,288.4629004781028,297.5486324700792,199.3193745503323,234.19534235397185,421.9044519981647
2846701,2050,1,37,49,37049,2,2,291.7263060781986,299.5747374228484,212.5533434003836,245.896004587118,403.7946796977788
2846702,2050,1,37,49,37049,2,3,319.33738110821463,327.3633545420988,241.80403605531558,277.00269522363254,423.1277224607033
2846703,2050,1,37,49,37049,2,4,339.00947219557486,348.4880058529187,263.098701798991,299.7931740111862,437.5549140216273
2846704,2050,1,37,49,37049,2,5,660.4461386354,680.2585012823828,520.6722944430129,589.1029275299802,837.9054409900807
2846705,2050,1,37,49,37049,2,6,569.6913856787024,582.3304715212482,468.79152162436174,529.7950292148905,698.7491245230876
2846706,2050,1,37,49,37049,2,7,510.49363924074066,517.5766959261225,434.9867194573542,487.29868165367446,607.1121739514055
